Age,Stage of Change,Symptoms and Disorders,Psychological Treatment,Evidence Level,Basis for Evidence
Child,Precontemplation,Anorexia,Family Therapy for Eating Disorders,Unclear,
Child,Contemplation,Anorexia,Family Therapy for Eating Disorders,Unclear,
Child,Preparation,Anorexia,Family Therapy for Eating Disorders,Excellent,"Retzlaff, R., Sydow, K., Beher, S., Haun, M. W., & Schweitzer, J. (2013). The efficacy of systemic therapy for internalizing and other disorders of childhood and adolescence: A systematic review of 38 randomized trials. Family Process, 52(4), 619-652. doi:10.1111/famp.12041 ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Child,Action,Anorexia,Family Therapy for Eating Disorders,Excellent,"Retzlaff, R., Sydow, K., Beher, S., Haun, M. W., & Schweitzer, J. (2013). The efficacy of systemic therapy for internalizing and other disorders of childhood and adolescence: A systematic review of 38 randomized trials. Family Process, 52(4), 619-652. doi:10.1111/famp.12041 ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Child,Maintenance,Anorexia,Family Therapy for Eating Disorders,Excellent,"Retzlaff, R., Sydow, K., Beher, S., Haun, M. W., & Schweitzer, J. (2013). The efficacy of systemic therapy for internalizing and other disorders of childhood and adolescence: A systematic review of 38 randomized trials. Family Process, 52(4), 619-652. doi:10.1111/famp.12041 ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Precontemplation,Anorexia,Family Therapy for Eating Disorders,Unclear,
Adolescent,Contemplation,Anorexia,Family Therapy for Eating Disorders,Unclear,
Adolescent,Preparation,Anorexia,Family Therapy for Eating Disorders,Excellent,"Murray, S. B., & Le Grange, D. (2014). Family therapy for adolescent eating disorders: An update. Current Psychiatry Reports, 16(5), 1-7. doi:10.1007/s11920-014-0447-y ; Couturier, J., Kimber, M., & Szatmari, P. (2013). Efficacy of family?based treatment for adolescents with eating disorders: A systematic review and meta?analysis. International Journal of Eating Disorders, 46(1), 3-11. doi:10.1002/eat.22042 ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Action,Anorexia,Family Therapy for Eating Disorders,Excellent,"Murray, S. B., & Le Grange, D. (2014). Family therapy for adolescent eating disorders: An update. Current Psychiatry Reports, 16(5), 1-7. doi:10.1007/s11920-014-0447-y ; Couturier, J., Kimber, M., & Szatmari, P. (2013). Efficacy of family?based treatment for adolescents with eating disorders: A systematic review and meta?analysis. International Journal of Eating Disorders, 46(1), 3-11. doi:10.1002/eat.22042 ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adolescent,Maintenance,Anorexia,Family Therapy for Eating Disorders,Excellent,"Murray, S. B., & Le Grange, D. (2014). Family therapy for adolescent eating disorders: An update. Current Psychiatry Reports, 16(5), 1-7. doi:10.1007/s11920-014-0447-y ; Couturier, J., Kimber, M., & Szatmari, P. (2013). Efficacy of family?based treatment for adolescents with eating disorders: A systematic review and meta?analysis. International Journal of Eating Disorders, 46(1), 3-11. doi:10.1002/eat.22042 ; Keel, P. K., & Haedt, A. (2008). Evidence-based psychosocial treatments for eating problems and eating disorders. Journal of Clinical Child & Adolescent Psychology, 37, 39-61."
Adult,Precontemplation,Anorexia,Cognitive-Interpersonal Therapy ,Unclear,
Adult,Contemplation,Anorexia,Cognitive-Interpersonal Therapy ,Unclear,
Adult,Preparation,Anorexia,Cognitive-Interpersonal Therapy ,Experimental,"Schmidt, U., Magill, N., Renwick, B., Keyes, A., Kenyon, M., Dejong, H.. . Landau, S. (2015). The maudsley outpatient study of treatments for anorexia nervosa and related conditions (MOSAIC): Comparison of the maudsley model of anorexia nervosa treatment for adults (MANTRA) with specialist supportive clinical management (SSCM) in outpatients with broadly defined anorexia nervosa: A randomized controlled trial. Journal of Consulting and Clinical Psychology, 83(4), 796-807. doi:10.1037/ccp0000019"
Adult,Action,Anorexia,Cognitive-Interpersonal Therapy ,Experimental,"Schmidt, U., Magill, N., Renwick, B., Keyes, A., Kenyon, M., Dejong, H.. . Landau, S. (2015). The maudsley outpatient study of treatments for anorexia nervosa and related conditions (MOSAIC): Comparison of the maudsley model of anorexia nervosa treatment for adults (MANTRA) with specialist supportive clinical management (SSCM) in outpatients with broadly defined anorexia nervosa: A randomized controlled trial. Journal of Consulting and Clinical Psychology, 83(4), 796-807. doi:10.1037/ccp0000019"
Adult,Maintenance,Anorexia,Cognitive-Interpersonal Therapy ,Experimental,"Schmidt, U., Magill, N., Renwick, B., Keyes, A., Kenyon, M., Dejong, H.. . Landau, S. (2015). The maudsley outpatient study of treatments for anorexia nervosa and related conditions (MOSAIC): Comparison of the maudsley model of anorexia nervosa treatment for adults (MANTRA) with specialist supportive clinical management (SSCM) in outpatients with broadly defined anorexia nervosa: A randomized controlled trial. Journal of Consulting and Clinical Psychology, 83(4), 796-807. doi:10.1037/ccp0000019"
Adult,Precontemplation,Anorexia,Specialist Supportive Clinical Mangament,Unclear,
Adult,Contemplation,Anorexia,Specialist Supportive Clinical Mangament,Unclear,
